  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00           99.68332647            0.00000000        5261.44444568       -45644.46311895       -40383.01867327 
  5.0000e-15           98.82583749            0.00000000        5216.18481430       -45553.87348799       -40337.68867369 
  1.0000e-14           97.42008001            0.00000000        5141.98669955       -45405.34974643       -40263.36304688 
  1.5000e-14           95.48817165            0.00000000        5040.01750497       -45201.22215347       -40161.20464850 
  2.0000e-14           93.06235448            0.00000000        4911.97901807       -44944.88878302       -40032.90976495 
  2.5000e-14           90.18564296            0.00000000        4760.14161094       -44640.88468652       -39880.74307558 
  3.0000e-14           86.91245596            0.00000000        4587.37759754       -44294.94967612       -39707.57207858 
  3.5000e-14           83.30908052            0.00000000        4397.18571315       -43914.07867534       -39516.89296219 
  4.0000e-14           79.45377249            0.00000000        4193.69642620       -43506.53401120       -39312.83758500 
  4.5000e-14           75.43626473            0.00000000        3981.64597963       -43081.79528814       -39100.14930851 
  5.0000e-14           71.35644251            0.00000000        3766.30647681       -42650.42117208       -38884.11469527 
  5.5000e-14           67.32197769            0.00000000        3553.36100950       -42223.80062872       -38670.43961922 
  6.0000e-14           63.44480679            0.00000000        3348.71776550       -41813.78096449       -38465.06319899 
  6.5000e-14           59.83650114            0.00000000        3158.26565707       -41432.17732506       -38273.91166799 
  7.0000e-14           56.60279375            0.00000000        2987.58544034       -41090.19149914       -38102.60605880 
  7.5000e-14           53.83775152            0.00000000        2841.64211574       -40797.79203075       -37956.14991500 
  8.0000e-14           51.61824494            0.00000000        2724.49302989       -40563.12539925       -37838.63236936 
  8.5000e-14           49.99940701            0.00000000        2639.04819005       -40392.03242842       -37752.98423837 
  9.0000e-14           49.01166135            0.00000000        2586.91340400       -40287.73209681       -37700.81869281 
  9.5000e-14           48.65966179            0.00000000        2568.33430757       -40250.70930161       -37682.37499404 
  1.0000e-13           48.92318921            0.00000000        2582.24370379       -40278.81125021       -37696.56754642 
  1.0500e-13           49.75977593            0.00000000        2626.40008092       -40367.52760125       -37741.12752033 
  1.1000e-13           51.10863197            0.00000000        2697.59484670       -40510.40864707       -37812.81380038 
  1.1500e-13           52.89535669            0.00000000        2791.90101812       -40699.56630856       -37907.66529044 
  1.2000e-13           55.03692572            0.00000000        2904.93643620       -40926.20358788       -38021.26715168 
  1.2500e-13           57.44651859            0.00000000        3032.11857833       -41181.12638214       -38149.00780381 
  1.3000e-13           60.03786492            0.00000000        3168.89395779       -41455.20360581       -38286.30964802 
  1.3500e-13           62.72890626            0.00000000        3310.93139759       -41739.75430440       -38428.82290681 
  1.4000e-13           65.44467712            0.00000000        3454.27410119       -42026.85177889       -38572.57767770 
  1.4500e-13           68.11939352            0.00000000        3595.44988488       -42309.54363591       -38714.09375103 
  1.5000e-13           70.69779590            0.00000000        3731.54206182       -42581.99290707       -38850.45084524 
  1.5500e-13           73.13583032            0.00000000        3860.22539452       -42839.54920094       -38979.32380642 
  1.6000e-13           75.40076953            0.00000000        3979.77248670       -43078.76072511       -39098.98823841 
  1.6500e-13           77.47088000            0.00000000        4089.03620840       -43297.33843095       -39208.30222255 
  1.7000e-13           79.33473547            0.00000000        4187.41346315       -43494.08293617       -39306.66947302 
  1.7500e-13           80.99026645            0.00000000        4274.79501982       -43668.78368168       -39393.98866186 
  1.8000e-13           82.44362198            0.00000000        4351.50543564       -43822.09836508       -39470.59292944 
  1.8500e-13           83.70790779            0.00000000        4418.23645026       -43955.41938602       -39537.18293576 
  1.9000e-13           84.80185521            0.00000000        4475.97673446       -44070.73304398       -39594.75630952 
  1.9500e-13           85.74846971            0.00000000        4525.94055287       -44170.47658765       -39644.53603478 
  2.0000e-13           86.57370346            0.00000000        4569.49770213       -44257.39783111       -39687.90012898 
  2.0500e-13           87.30519393            0.00000000        4608.10693162       -44334.42175553       -39726.31482391 
  2.1000e-13           87.97110662            0.00000000        4643.25486198       -44404.52813965       -39761.27327767 
  2.1500e-13           88.59911462            0.00000000        4676.40212269       -44470.64368011       -39794.24155742 
  2.2000e-13           89.21553938            0.00000000        4708.93800179       -44535.55120592       -39826.61320413 
  2.2500e-13           89.84466673            0.00000000        4742.14434329       -44601.81746927       -39859.67312597 
  2.3000e-13           90.50824005            0.00000000        4777.16879812       -44671.73972166       -39894.57092354 
  2.3500e-13           91.22512142            0.00000000        4815.00693636       -44747.31007083       -39932.30313446 
  2.4000e-13           92.01110265            0.00000000        4856.49227538       -44830.19569780       -39973.70342241 
  2.4500e-13           92.87884400            0.00000000        4902.29304322       -44921.73254376       -40019.43950054 
  2.5000e-13           93.83791759            0.00000000        4952.91447218       -45022.93003882       -40070.01556664 
  2.5500e-13           94.89493490            0.00000000        5008.70552646       -45134.48467720       -40125.77915074 
  2.6000e-13           96.05374019            0.00000000        5069.86911177       -45256.80054122       -40186.93142945 
  2.6500e-13           97.31565398            0.00000000        5136.47492750       -45390.01510177       -40253.54017427 
  2.7000e-13           98.67975199            0.00000000        5208.47418930       -45534.02875411       -40325.55456481 
  2.7500e-13          100.14316597            0.00000000        5285.71550543       -45688.53665009       -40402.82114465 
  2.8000e-13          101.70139426            0.00000000        5367.96127180       -45853.06155056       -40485.10027876 
  2.8500e-13          103.34861261            0.00000000        5454.90407503       -46026.98667345       -40572.08259842 
  2.9000e-13          105.07797798            0.00000000        5546.18272879       -46209.58779463       -40663.40506584 
  2.9500e-13          106.88192000            0.00000000        5641.39765672       -46400.06404273       -40758.66638601 
